Month,Revenue,Expenses,Debt,Receivables,Payables,Inventory,Tax
Jan,500000,350000,150000,80000,60000,120000,20000
Feb,600000,420000,140000,90000,65000,125000,22000
Mar,550000,400000,145000,85000,62000,123000,21000
Apr,650000,460000,135000,95000,68000,130000,23000
May,700000,480000,130000,100000,70000,135000,24000
Jun,720000,500000,125000,110000,72000,140000,25000
Jul,750000,520000,120000,105000,74000,145000,26000
Aug,780000,540000,118000,115000,76000,150000,27000
Sep,800000,560000,115000,120000,78000,155000,28000
Oct,850000,600000,110000,125000,80000,160000,30000
Nov,900000,620000,105000,130000,82000,165000,32000
Dec,950000,650000,100000,135000,85000,170000,34000
